,Original Player_FP,POS,AGE,TIERS,RK,Rank,Rank_PFF,Composite Rank
833,,,,,,291.0,115.0,203.0
369,Quentin Johnston,WR70,23,11.0,167.0,277.0,168.0,204.0
16,Andrei Iosivas,WR87,25,12.0,217.0,161.0,234.0,204.0
834,,,,,,291.0,118.0,204.5
415,Terrance Ferguson,TE24,22,11.0,172.0,284.0,159.0,205.0
29,Ben Sinnott,TE33,23,12.0,206.0,,,206.0
234,Jaylin Noel,WR64,22,10.0,152.0,270.0,198.0,206.67
835,,,,,,291.0,123.0,207.0
13,Amari Cooper,WR84,31,12.0,208.0,,,208.0
299,Kyle Monangai,RB66,23,12.0,235.0,180.0,211.0,208.67
836,,,,,,291.0,130.0,210.5
24,Austin Ekeler,RB63,30,12.0,216.0,196.0,220.0,210.67
285,Keenan Allen,WR85,33,12.0,212.0,,,212.0
252,Jonathon Brooks,RB60,22,12.0,209.0,,215.0,212.0
464,Will Shipley,RB72,22,13.0,242.0,167.0,231.0,213.33
5,Adam Thielen,WR81,34,12.0,201.0,183.0,257.0,213.67
165,Harold Fannin Jr.,TE23,21,11.0,171.0,287.0,189.0,215.67
404,Spencer Rattler,QB40,24,14.0,329.0,165.0,154.0,216.0
185,Ja'Tavion Sanders,TE28,22,11.0,189.0,246.0,216.0,217.0
837,,,,,,291.0,144.0,217.5
408,Tahj Brooks,RB67,23,12.0,236.0,,200.0,218.0
99,Darius Slayton,WR93,28,12.0,226.0,184.0,245.0,218.33
7,Adonai Mitchell,WR71,22,11.0,175.0,289.0,191.0,218.33
401,Shedeur Sanders,QB34,23,12.0,220.0,,221.0,220.5
9,Alec Pierce,WR80,25,12.0,199.0,267.0,196.0,220.67
245,Joe Flacco,QB38,40,14.0,312.0,155.0,197.0,221.33
471,Zach Ertz,TE31,34,12.0,198.0,206.0,263.0,222.33
419,Theo Johnson,TE30,24,11.0,197.0,250.0,222.0,223.0
287,Kendre Miller,RB65,23,12.0,229.0,215.0,232.0,225.33
141,Elijah Mitchell,RB85,27,13.0,274.0,190.0,214.0,226.0
134,Dyami Brown,WR108,25,13.0,259.0,212.0,209.0,226.67
343,Miles Sanders,RB78,28,13.0,258.0,213.0,212.0,227.67
359,Oronde Gadsden II,TE36,22,12.0,228.0,,228.0,228.0
453,Tyler Lockett,WR98,32,12.0,240.0,205.0,242.0,229.0
218,Jarquez Hunter,RB58,22,12.0,203.0,295.0,190.0,229.33
487,,,,,,194.0,265.0,229.5
500,,,,,,195.0,265.0,230.0
296,Kirk Cousins,QB36,36,14.0,301.0,187.0,203.0,230.33
513,,,,,,197.0,265.0,231.0
291,Kenny Pickett,QB42,27,15.0,337.0,202.0,156.0,231.67
432,Trevor Etienne,RB69,21,12.0,238.0,,226.0,232.0
110,DeAndre Hopkins,WR79,33,11.0,193.0,238.0,266.0,232.33
39,Brashard Smith,RB68,22,12.0,237.0,171.0,289.0,232.33
526,,,,,,200.0,265.0,232.5
539,,,,,,201.0,265.0,233.0
78,Cole Kmet,TE27,26,11.0,187.0,266.0,247.0,233.33
129,Dont'e Thornton Jr.,WR109,22,13.0,261.0,,206.0,233.5
273,Juwan Johnson,TE35,28,12.0,225.0,239.0,241.0,235.0
56,Calvin Austin III,WR100,26,13.0,246.0,272.0,192.0,236.67
87,DJ Giddens,RB61,21,12.0,211.0,290.0,210.0,237.0
488,,,,,,194.0,283.0,238.5
120,Devaughn Vele,WR90,27,12.0,222.0,,255.0,238.5
501,,,,,,195.0,283.0,239.0
514,,,,,,197.0,283.0,240.0
552,,,,,,216.0,265.0,240.5
189,Jacory Croskey-Merritt,RB89,24,13.0,280.0,,202.0,241.0
565,,,,,,217.0,265.0,241.0
578,,,,,,218.0,265.0,241.5
527,,,,,,200.0,283.0,241.5
591,,,,,,219.0,265.0,242.0
540,,,,,,201.0,283.0,242.0
489,,,,,,194.0,292.0,243.0
124,Dillon Gabriel,QB37,24,14.0,307.0,204.0,218.0,243.0
604,,,,,,221.0,265.0,243.0
617,,,,,,222.0,265.0,243.5
502,,,,,,195.0,292.0,243.5
630,,,,,,223.0,265.0,244.0
102,Darren Waller,TE51,32,14.0,319.0,175.0,238.0,244.0
23,Audric Estime,RB64,21,12.0,221.0,231.0,280.0,244.0
515,,,,,,197.0,292.0,244.5
130,Dontayvion Wicks,WR78,24,11.0,192.0,296.0,246.0,244.67
490,,,,,,194.0,296.0,245.0
503,,,,,,195.0,296.0,245.5
528,,,,,,200.0,292.0,246.0
330,Mason Rudolph,QB47,30,15.0,384.0,136.0,219.0,246.33
516,,,,,,197.0,296.0,246.5
541,,,,,,201.0,292.0,246.5
206,Jalen Tolbert,WR96,26,12.0,233.0,264.0,243.0,246.67
255,Jordan James,RB73,21,13.0,243.0,,251.0,247.0
93,Dalton Schultz,TE34,29,12.0,213.0,278.0,252.0,247.67
